species,scientific_name,kingdom,phylum,class,order,family,genus,occurrence_count,image_count,municipalities,iucn_status
Oxidus gracilis,"Oxidus gracilis (C.L.Koch, 1847)",Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Oxidus,1,3,,
Dracula gorgona,Dracula gorgona (A.H.Kent) Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,3,3,,
Anolis tolimensis,"Anolis tolimensis Werner, 1916",Animalia,Chordata,Squamata,,Dactyloidae,Anolis,1,3,,LC
Bolitoglossa vallecula,"Bolitoglossa vallecula Brame & Wake, 1963",Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,1,3,,LC
Automeris zugana,"Automeris zugana Druce, 1886",Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Automeris,1,3,,
Doryfera ludovicae,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Doryfera,3,3,,LC
Praxelis clematidea,Praxelis clematidea (Griseb.) R.M.King & H.Rob.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Praxelis,1,3,,
Colibri delphinae,"Colibri delphinae (R.Lesson, 1839)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,3,3,,LC
Plekocheilus castaneus,"Plekocheilus castaneus (L.Pfeiffer, 1845)",Animalia,Mollusca,Gastropoda,Stylommatophora,Amphibulimidae,Plekocheilus,1,3,,
Cyrtonota moderata,"Cyrtonota moderata (Spaeth, 1913)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cyrtonota,2,3,,
Thespieus tihoneta,"Thespieus tihoneta (Weeks, 1901)",Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thespieus,2,3,,
Drymaeus flexuosus,"Drymaeus flexuosus (L.Pfeiffer, 1853)",Animalia,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Drymaeus,2,3,,
Apiomerus ochropterus,"Apiomerus ochropterus Stål, 1855",Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Apiomerus,2,3,,
