species,scientific_name,kingdom,phylum,class,order,family,genus,occurrence_count,image_count,municipalities,iucn_status
Azorella aretioides,Azorella aretioides (Spreng.) Willd. ex DC.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Azorella,1,3,,
Rumex tolimensis,Rumex tolimensis Wedd.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,1,3,,LC
Aa colombiana,Aa colombiana Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aa,1,3,,
Calandrinia acaulis,Calandrinia acaulis Kunth,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Calandrinia,1,3,,
Solanum sisymbriifolium,Solanum sisymbriifolium Lam.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,1,3,,
Solanum nigrescens,Solanum nigrescens M.Martens & Galeotti,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,1,3,,
Peperomia acuminata,Peperomia acuminata Ruiz & Pav.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,1,3,,
Bomarea setacea,Bomarea setacea (Ruiz & Pav.) Herb.,Plantae,Tracheophyta,Liliopsida,Liliales,Alstroemeriaceae,Bomarea,1,3,,LC
Anemia phyllitidis,Anemia phyllitidis (L.) Sw.,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Anemiaceae,Anemia,3,3,,
Selenicereus monacanthus,Selenicereus monacanthus (Lem.) D.R.Hunt,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Selenicereus,1,3,,LC
Thunbergia erecta,Thunbergia erecta (Benth.) T.Anderson,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,1,3,,
Cranichis antioquiensis,Cranichis antioquiensis Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cranichis,1,3,,
Digitalis purpurea,Digitalis purpurea L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,2,3,,
Magnolia hernandezii,Magnolia hernandezii (Lozano) Govaerts,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,1,2,,EN
Calathea lutea,Calathea lutea (Aubl.) E.Mey. ex Schult.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Calathea,17,2,,
Rumex acetosella,Rumex acetosella L.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,10,2,San Félix,
Ananas comosus,Ananas comosus (L.) Merr.,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Ananas,2,2,,
Clerodendrum thomsoniae,Clerodendrum thomsoniae Balf.f.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,2,2,,
Renealmia thyrsoidea,Renealmia thyrsoidea (Ruiz & Pav.) Poepp. & Endl.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Renealmia,1,2,,
Heliconia hirsuta,Heliconia hirsuta L.f.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia,2,2,,
Cyrtochilum trifurcatum,Cyrtochilum trifurcatum (Lindl.) Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,2,2,,
Datura metel,Datura metel L.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,2,2,,
Eleocharis elegans,Eleocharis elegans (Kunth) Roem. & Schult.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,2,2,,
Carica papaya,Carica papaya L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,53,2,,DD
Gunnera manicata,Gunnera manicata Linden,Plantae,Tracheophyta,Magnoliopsida,Gunnerales,Gunneraceae,Gunnera,2,2,,
Miconia majalis,Miconia majalis Cogn.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,1,2,,VU
Passiflora auriculata,Passiflora auriculata Kunth,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,1,2,,
Calophyllum brasiliense,Calophyllum brasiliense Cambess.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Calophyllaceae,Calophyllum,27,2,,LC
Curcuma zedoaria,Curcuma zedoaria (Christm.) Roscoe,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,2,2,,DD
Selenicereus megalanthus,Selenicereus megalanthus (Schum. ex Vaupel) Moran,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Selenicereus,2,2,,LC
Graffenrieda galeottii,Graffenrieda galeottii (Naudin) L.O.Williams,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Graffenrieda,530,2,,LC
Croton mutisianus,Croton mutisianus Kunth,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,18,2,,
Heliocarpus americanus,Heliocarpus americanus L.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Heliocarpus,62,2,,LC
Tagetes erecta,Tagetes patula L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tagetes,1,2,,
Veronica persica,Veronica persica Poir.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,1,2,,
Ficus carica,Ficus carica L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,1,2,,LC
Epidendrum leucochilum,"Epidendrum leucochilum Link, Klotzsch & Otto",Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,1,2,,
Dahlia pinnata,Dahlia × pinnata Cav.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Dahlia,1,2,,
Eucalyptus cinerea,Eucalyptus cinerea F.Muell. ex Benth.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,1,2,,NT
Masdevallia ignea,Masdevallia ignea Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,2,2,,EN
Cattleya trianae,Cattleya trianae Linden & Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,2,2,,
Gomphocarpus physocarpus,Gomphocarpus physocarpus E.Mey.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Gomphocarpus,3,2,,
Hymenophyllum tomentosum,Hymenophyllum tomentosum Kunze,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,1,2,,
Tradescantia zebrina,Tradescantia zebrina Bosse,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,3,2,,
Matisia cordata,Matisia cordata Humb. & Bonpl.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Matisia,4,2,,LC
Mandevilla mollissima,Mandevilla mollissima (Kunth) K.Schum.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,1,2,,
Carex jamesonii,Carex jamesonii Boott,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,1,2,,
Pleopeltis monosora,Pleopeltis monosora (Desv.) A.R.Sm.,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,2,2,,
Tillandsia elongata,Tillandsia elongata Kunth,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,144,2,,
Cocos nucifera,Cocos nucifera L.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Cocos,6,2,Guayabito; Palmas de Mayorca,
Philodendron subhastatum,Philodendron subhastatum K.Krause,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,1,2,,
Piper sphaeroides,Piper sphaeroides C.DC.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,2,2,,
Epidendrum schistochilum,Epidendrum schistochilum Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,2,2,,
Stelis superbiens,Stelis superbiens Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stelis,2,2,,
Thaumatophyllum bipinnatifidum,"Thaumatophyllum bipinnatifidum (Schott ex Endl.) Sakur., Calazans & Mayo",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Thaumatophyllum,1,2,,
Sisyrinchium micranthum,Sisyrinchium micranthum Cav.,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,1,2,,
Galinsoga quadriradiata,Galinsoga quadriradiata Ruiz & Pav.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Galinsoga,1,2,,
Philodendron grandipes,Philodendron grandipes K.Krause,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,1,2,,LC
Solanum wendlandii,Solanum wendlandii Hook.fil.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,3,2,,
Delostoma integrifolium,Delostoma integrifolium D.Don,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Delostoma,1,2,,LC
Urera baccifera,Urera baccifera (L.) Gaudich. ex Wedd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urera,18,2,,
Polystichum platyphyllum,Polystichum platyphyllum (Willd.) C.Presl,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,5,2,,
Gunnera brephogea,Gunnera brephogea Linden & André,Plantae,Tracheophyta,Magnoliopsida,Gunnerales,Gunneraceae,Gunnera,5,2,,
Columnea fuscihirta,Columnea fuscihirta L.P.Kvist & L.E.Skog,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,2,2,,
Phlegmariurus linifolius,Phlegmariurus linifolius (L.) B.Øllg.,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Phlegmariurus,2,2,,
Piper aduncum,Piper aduncum L.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,24,2,,LC
Calceolaria tripartita,Calceolaria tripartita Ruiz & Pav.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Calceolariaceae,Calceolaria,3,2,,
Duranta erecta,Duranta erecta L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Duranta,11,2,,LC
Thunbergia grandiflora,Thunbergia grandiflora (Roxb. ex Rottler) Roxb.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,2,2,,
Dendrophthora clavata,Dendrophthora clavata (Benth.) Urb.,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Dendrophthora,3,2,,
Pleopeltis macrocarpa,Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,5,2,,
Munnozia jussieui,Munnozia jussieui (Cass.) H.Rob. & Brettell,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Munnozia,2,2,,
Miconia psychrophila,Miconia psychrophila Naudin,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,3,2,,LC
Gaultheria erecta,Gaultheria erecta Vent.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,5,2,El Pindo; Marulanda,LC
Oxypetalum cordifolium,Oxypetalum cordifolium (Vent.) Schltr.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,2,2,,
Epidendrum laeve,Epidendrum laeve Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,3,2,,LC
Schultesianthus coriaceus,Schultesianthus coriaceus (Kuntze) Hunz.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Schultesianthus,3,2,,LC
Passiflora arbelaezii,Passiflora arbelaezii L.Uribe,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,1,2,,
Epidendrum hartmanii,Epidendrum hartmanii Hágsater & L.Sánchez,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,1,2,,
Schizolobium parahyba,Schizolobium parahyba (Vell.) S.F.Blake,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Schizolobium,42,2,,LC
Leucocarpus perfoliatus,Leucocarpus perfoliatus (Kunth) Benth.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Phrymaceae,Leucocarpus,1,2,,
Gongora gratulabunda,Gongora gratulabunda Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gongora,2,2,,
Miconia asclepiadea,Miconia asclepiadea Triana,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,1,2,,
Vernonanthura patens,Vernonanthura patens (Kunth) H.Rob.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonanthura,1,2,,LC
Dichaea camaridioides,Dichaea camaridioides Schltr.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichaea,1,2,,
Bellis perennis,Bellis perennis L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,2,2,,
Passiflora quadrangularis,Passiflora quadrangularis L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,2,2,,
Teagueia phasmida,Teagueia phasmida (Luer & R.Escobar) O.Gruss & M.Wolff,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,1,2,,
Racinaea michelii,Racinaea michelii (Mez) M.A.Spencer & L.B.Sm.,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Racinaea,2,2,,LC
Brugmansia candida,Brugmansia × candida Pers.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brugmansia,2,2,,
Plumeria rubra,Plumeria rubra L.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,3,2,,LC
Leucaena leucocephala,Leucaena leucocephala (Lam.) de Wit,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Leucaena,3,2,Sector Centro,
Ficus nymphaeifolia,Ficus nymphaeifolia Mill.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,12,2,,LC
Pentas lanceolata,Pentas lanceolata (Forssk.) Deflers,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pentas,4,2,,
Monstera xanthospatha,Monstera xanthospatha Madison,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,2,2,,
Syagrus sancona,Syagrus sancona (Kunth) H.Karst.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Syagrus,2,2,,
Mimosa pigra,Mimosa pigra L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,7,2,,LC
Fuchsia hybrida,Fuchsia × hybrida hort. ex Vilm.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,2,2,,
Fuchsia hirtella,Fuchsia hirtella Kunth,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,2,2,,
Fuchsia triphylla,Fuchsia triphylla L.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,1,2,,
Dichaea morrisii,Dichaea morrisii Fawc. & Rendle,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichaea,2,2,,
Syzygium jambos,Syzygium jambos (L.) Alston,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,44,2,,LC
Coccocypselum hirsutum,Coccocypselum hirsutum Bartl. ex DC.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coccocypselum,22,2,,
Cecropia hispidissima,Cecropia hispidissima Cuatrec.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,2,2,,LC
Miconia barbinervis,Miconia barbinervis (Benth.) Triana,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,11,2,,LC
Epidendrum brachypodum,Epidendrum brachypodum Hágsater,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,1,2,,
Crescentia cujete,Crescentia cujete L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Crescentia,6,2,,LC
Telipogon williamsii,Telipogon williamsii P.Ortiz,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Telipogon,2,2,,
Brassia euodes,Brassia euodes Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassia,1,2,,
Masdevallia peristeria,Masdevallia peristeria Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,2,2,,
Telipogon andicola,Telipogon andicola Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Telipogon,2,2,,
Muscarella zephyrina,Andreettaea zephyrina (Rchb.f.) A.Doucette,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Muscarella,1,2,,
Cyrtochilum cimiciferum,Cyrtochilum cimiciferum (Rchb.f.) Dalström,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,1,2,,
Platystele orectoglossa,Platystele orectoglossa P.Ortiz,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,2,2,,
Masdevallia herradurae,Masdevallia herradurae F.Lehm. & Kraenzl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,1,2,,
Salvia tortuosa,Salvia tortuosa Kunth,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,2,2,,
Lotus pedunculatus,Lotus pedunculatus Cav.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,1,2,,
Lepanthes cuatrecasasii,Lepanthes cuatrecasasii Luer,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lepanthes,2,2,,
Psidium cattleianum,Psidium cattleianum Afzel. ex Sabine,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Psidium,2,2,,
Prosthechea sima,Prosthechea sima (Dressler) W.E.Higgins,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prosthechea,1,2,,
Oplismenus undulatifolius,Oplismenus undulatifolius (Ard.) P.Beauv.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oplismenus,2,2,,
Cattleya warscewiczii,Cattleya warscewiczii Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,1,2,,
Eulophia maculata,Eulophia maculata (Lindl.) Rchb.f.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eulophia,1,2,,LC
Cyrtochilum flexuosum,Cyrtochilum flexuosum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,2,2,,
Senecio rhizocephalus,Senecio rhizocephalus Turcz.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,2,2,,
Pleurothallis gomezii,Pleurothallis gomezii Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallis,1,2,,
Monotropa coccinea,Monotropa coccinea Zucc.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Monotropa,2,2,,
Daphnopsis caracasana,Daphnopsis caracasana Meisn.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphnopsis,1,2,,LC
Vriesea pereziana,Tillandsia pereziana André,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,1,2,,
Tephrosia vogelii,Tephrosia vogelii Hook.f.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,1,2,,LC
Bauhinia picta,Bauhinia picta (Kunth) DC.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,41,2,Guayabito; La Plazuela; La Unión; Pueblo Nuevo; Sector Centro,LC
Eccremocarpus viridis,Eccremocarpus viridis Ruiz & Pav.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Eccremocarpus,1,2,,
Piper fresnoense,Piper fresnoense Trel. & Yunck.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,1,2,,
Anthurium caucavallense,Anthurium caucavallense Croat,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,1,2,,
Miconia quinquenervia,Miconia quinquenervia (Mill.) Gamba & Almeda,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,1,2,,
Scadoxus multiflorus,Scadoxus multiflorus (Martyn) Raf.,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Scadoxus,1,2,,
Costus comosus,Costus comosus (Jacq.) Roscoe,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,2,2,,
Nautilocalyx bicolor,Nautilocalyx bicolor (Hook.) Wiehler,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Nautilocalyx,2,2,,
